Year	State	松山機場	中山國中	南京復興	忠孝復興	大安	科技大樓	六張犁	麟光	辛亥	萬芳醫院	萬芳社區	木柵	動物園	大直	劍南路	西湖	港墘	文德	內湖	大湖公園	葫洲	東湖	南港軟體園區	南港展覽館	小碧潭	新店	新店區公所	七張	大坪林	景美	萬隆	公館	台電大樓	古亭	中正紀念堂	小南門	頂溪	永安市場	景安	南勢角	台大醫院	台北車站	中山	雙連	民權西路	圓山	劍潭	士林	芝山	明德	石牌	唭哩岸	奇岩	北投	新北投	復興崗	忠義	關渡	竹圍	紅樹林	淡水	頂埔	永寧	土城	海山	亞東醫院	府中	板橋	新埔	江子翠	龍山寺	西門	善導寺	忠孝新生	忠孝敦化	國父紀念館	市政府	永春	後山埤	昆陽	南港	象山	台北101/世貿	信義安和	大安森林公園	北門	松江南京	台北小巨蛋	南京三民	松山	輔大	新莊	頭前庄	先嗇宮	三重	菜寮	台北橋	大橋頭	中山國小	行天宮	東門	蘆洲	三民高中	徐匯中學	三和國中	三重國小	迴龍	丹鳳
2017	1	8644	18654	39454	94861	25523	15489	15948	7298	4521	15157	3799	7505	39584	10743	24837	9685	11027	7451	13292	9435	10074	11361	4273	34486	5277	48953	18552	25163	27107	27147	15304	55430	34353	39138	79394	8461	59329	40366	37827	35063	26473	352670	73677	34032	36743	79344	94012	59409	38526	15583	43561	11331	12738	30652	24567	5915	4024	18405	17042	13343	150289	12618	21712	11287	32668	25211	52015	87744	57387	37317	67627	182011	24453	55343	65839	38757	110343	26027	28252	16470	26278	26524	68522	24224	21788	14021	33725	35090	28413	45317	14642	17562	7873	4699	7443	13760	17737	19241	24694	41120	49582	19252	19428	19407	18008	19303	15395	14858
2017	2	10227	17982	38845	87323	24477	15766	14803	6608	3855	16886	3085	6306	26434	11255	21540	10096	11398	7339	12987	8158	9538	11004	4285	30158	3793	32835	16534	23329	27642	24331	14420	48830	28344	39288	39814	7681	54694	38159	34874	32058	20394	319997	66737	30626	31710	50936	67858	47957	34670	16980	43703	10223	11369	27493	17036	5170	4590	17364	14992	9937	102477	10566	17418	10490	30410	26549	43827	74360	55029	35610	55359	142800	20222	49816	60873	34259	94248	25151	25375	16056	24701	19849	48350	22045	15671	12896	34193	21788	27244	33526	13044	15052	7258	3981	6383	11941	15147	19131	22960	37059	41071	16584	17771	17240	16176	18177	12693	12825
2017	3	11389	32387	77757	90299	51600	31657	23998	8005	6061	33358	4558	9226	12912	20591	19956	36967	31339	11034	15966	6074	15592	16593	9871	53642	4591	24180	22697	33128	43099	33288	18642	54993	36215	65582	58254	20716	72967	53630	50996	43556	51731	276298	71647	44841	49008	53735	69596	58589	45932	26292	63107	15146	18018	36777	13838	6817	5920	27792	19323	13875	74758	14854	22434	13821	42169	42823	54480	73695	82067	50621	57785	131607	46059	62528	73017	45588	112367	40813	34038	29446	30683	21852	55623	34843	14438	16682	76636	48021	46051	46691	26743	21469	9254	8954	8896	19469	18159	25522	35424	58197	51003	24633	24964	21821	23924	23283	19060	17437
2017	4	10528	32363	78629	90541	51895	30811	23622	8116	6122	30632	4736	9415	14957	21024	21665	37281	31774	11418	16498	6905	17395	17097	9789	55248	4624	25841	22989	33499	43203	33916	18297	54857	36108	66704	59152	20457	72353	53953	50722	43144	51400	260537	72806	47698	51108	54545	72596	58860	50411	26410	64766	15325	18531	37233	13260	7037	6070	28341	20277	13697	75877	14795	22920	14134	43197	43243	55463	73042	82911	52258	57765	130945	47373	63810	74423	43149	112211	40808	34084	30195	30186	23392	55880	34835	15494	16620	77780	48532	46026	47033	26249	22791	9960	9111	9517	20139	18284	25620	35703	57376	50888	24891	25709	24234	24398	23474	19313	17660
2017	5	10867	33272	80987	93629	52852	31467	23943	8160	6144	32492	4804	9559	14497	21417	21819	37091	31745	11008	16408	6656	17438	16526	9597	57474	4782	25648	22908	33466	43851	33673	18529	54663	36710	67675	60536	20337	72948	54630	51112	43273	51025	266582	73900	46749	52124	54920	70685	58980	47799	26213	65036	15224	18972	37465	13346	6988	5979	28412	20209	14406	75600	14545	23263	13732	42863	43265	55990	74099	83196	52510	58342	130909	47308	65239	75691	43329	115042	41362	33996	30323	30847	23156	56396	35446	15474	16605	79071	50514	46735	46899	26523	22965	9560	9119	9263	19742	18187	25771	36403	59573	51313	25033	25750	24464	24335	23529	19678	18112
2017	6	12240	35149	85035	105388	55175	32873	25199	8457	6375	33073	4948	9947	15267	22088	26076	38577	33526	12298	17671	6908	18473	17739	11531	75049	5326	27024	24215	35999	48810	36119	20193	61434	40859	70611	64871	20784	77566	57320	53847	45443	52275	322986	84757	49662	55676	58527	77647	63705	52078	27461	67489	16082	19794	39860	14182	7625	6290	28564	20733	15269	81120	16031	25151	15640	46134	45208	61075	84277	88728	55111	61823	152556	49333	69938	86866	50020	131217	44601	36769	31983	36546	24564	64338	38312	16357	18001	83236	52413	49786	50569	27423	24333	10462	9634	9938	21331	19656	28604	39095	62384	54973	26468	27212	26849	26103	25412	21538	19441
2017	7	8949	23304	51164	103801	33012	23010	18030	7153	5582	20976	3888	6656	17295	14956	28682	13278	14326	9059	15373	7352	12481	13439	4680	52529	4537	30371	19945	28784	35259	35595	17726	63478	37990	58260	52216	11196	66444	47969	43714	38357	29983	326336	82835	42905	40207	58311	78396	57592	44467	19822	52888	12705	13580	34126	16197	6894	4853	18378	17725	11470	81373	12420	21881	12904	37164	32270	59413	76903	70769	44772	59010	160745	33446	66475	77620	41793	109686	33540	30758	20335	27971	18491	53589	27780	19556	15397	43200	39086	34245	40614	20505	24938	11085	5878	8467	16042	18801	23101	29294	46979	51296	22188	22627	24086	20020	22098	17699	16472
2017	8	8391	17445	37272	81786	26070	16886	13891	6527	4362	15424	3234	5245	15307	11713	21657	10228	11162	7085	12321	6202	10339	10910	3823	37562	4017	23766	15740	22002	28032	27934	14360	46529	30749	41604	45871	10109	53502	37960	34357	30967	22709	293686	67088	30884	36271	51718	61554	44209	35263	14730	40309	10147	12450	27561	14561	5469	3335	15247	14616	11352	71338	11358	17864	10533	30406	24677	46339	65284	56303	35991	52680	136054	26699	50806	59950	32668	90671	28184	25565	15786	22670	15965	47715	21213	16993	12516	33615	23504	27711	31116	13760	15726	8254	4645	6773	12914	14924	19681	23534	37492	43214	17218	18097	19379	16708	17909	13994	13606
2017	9	10618	31983	76975	88266	50520	29931	22928	7849	6027	30531	4551	9167	10230	20545	21437	36107	31057	10758	16040	6032	16486	16317	9523	54142	5724	24296	22200	32526	42762	32523	17920	51661	34695	64170	56193	20087	70987	52501	49847	42677	51868	267800	69827	46757	50327	51973	63113	55609	45614	25641	63471	15025	18373	35641	12546	6724	5824	24113	19247	13705	70495	14809	22927	14018	42402	42892	53938	72807	80958	51546	57154	128999	43994	60803	72225	42930	112415	39513	34002	29464	30173	22569	53585	33638	13770	16902	76777	47748	44831	45380	25820	21835	9347	8867	9048	19354	18089	25936	34965	56977	48481	24386	24917	23999	24189	23154	18325	17178
2017	10	10750	32424	79588	91749	51892	30757	23592	8142	6195	30623	4641	9361	13437	21216	23096	36956	31535	11001	16206	6483	16997	16754	9691	56192	6033	25222	22755	32957	43379	33606	18602	52558	36438	65555	59923	20355	72811	54120	50715	43367	51815	261812	71977	46635	51078	53578	65572	58144	46971	26453	63507	15289	18485	36821	13622	6947	6215	24232	19622	14069	73212	14890	23095	13704	43212	43864	55934	73866	83506	52077	57241	132339	45541	63193	74698	43494	113680	41765	34416	29884	30343	22850	53044	34741	14867	16862	77309	48166	45980	46354	26467	22697	9783	9273	9391	19871	18332	25756	35366	58005	49751	25088	25429	24226	24478	23155	18658	17667
